season,date,home_team,away_team,home_score,away_score,match_result,match_result_numeric,home_elo,away_elo,home_form_score,away_form_score,home_goal_difference,away_goal_difference,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_goal_diff,last10_h2h_home_wins,last10_h2h_away_wins,last10_h2h_draws,last100_h2h_goal_diff,last10_h2h_goal_diff,home_team_home_win_pct,away_team_away_win_pct,elo_difference
1956-1957,1956-12-16,DOS,VVV-Venlo,1,3,away_win,-1,983.7174111019418,1004.1319280689733,10.8,15.0,-6,2,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.5,-20.41451696703143
1956-1957,1956-12-16,Ajax,Fortuna Sittard,0,2,away_win,-1,1058.660399782165,1054.0107898809772,13.2,12.6,2,2,0,0,0,0,0,0,0,0,0.0,0.8333333333333334,0.4,4.649609901187887
1956-1957,1956-12-16,GVAV,Willem II,5,3,home_win,1,955.2682045673499,920.7109136481988,5.0,1.0,-2,-9,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.16666666666666666,34.557290919151114
1956-1957,1956-12-23,PSV,NAC Breda,2,5,away_win,-1,1004.4433405618398,1031.1199855487882,13.2,12.799999999999999,7,-6,0,0,0,0,0,0,0,0,0.0,0.16666666666666666,0.16666666666666666,-26.676644986948418
1956-1957,1956-12-23,VVV-Venlo,Ajax,0,0,draw,0,1019.1928852430091,1042.4462901150973,13.8,8.4,2,-1,0,0,0,0,0,0,0,0,0.0,0.6,0.6,-23.253404872088254
1956-1957,1956-12-23,Willem II,Eindhoven,3,2,home_win,1,906.2971083784558,897.4120978123112,1.2,2.0,-9,-9,0,0,0,0,0,0,0,0,0.0,0.0,0.16666666666666666,8.885010566144615
1956-1957,1956-12-23,Fortuna Sittard,NOAD,0,3,away_win,-1,1070.224899548045,999.2763327730074,10.799999999999999,10.2,1,0,0,0,0,0,0,0,0,0,0.0,0.8333333333333334,0.2,70.94856677503753
1956-1957,1956-12-23,SC Enschede,Sparta Rotterdam,1,1,draw,0,1081.604443640483,984.0235860386721,17.2,13.0,8,-1,0,0,0,0,0,0,0,0,0.0,0.6,0.3333333333333333,97.58085760181086
1956-1957,1956-12-23,Elinkwijk,Roda JC,1,4,away_win,-1,949.0454752076444,1002.5090464221693,7.799999999999999,12.399999999999999,-1,5,0,0,0,0,0,0,0,0,0.0,0.16666666666666666,0.16666666666666666,-53.463571214524904
1956-1957,1956-12-23,BVV Den Bosch,GVAV,1,2,away_win,-1,963.9988337412734,969.6820098370929,10.8,6.6,7,0,0,0,0,0,0,0,0,0,0.0,0.4,0.0,-5.683176095819476
1956-1957,1956-12-23,BVC Amsterdam,DOS,1,2,away_win,-1,973.103715336046,968.656453927906,6.199999999999999,6.0,-1,-12,0,0,0,0,0,0,0,0,0.0,0.4,0.6,4.44726140813998
1956-1957,1956-12-23,Feyenoord,MVV,2,2,draw,0,1076.6994726711812,1060.264023196977,14.399999999999999,15.2,6,7,0,0,0,0,0,0,0,0,0.0,0.8333333333333334,0.3333333333333333,16.435449474204233
1956-1957,1956-12-26,BVV Den Bosch,Ajax,3,1,home_win,1,948.2605303323563,1041.377027339161,13.0,11.2,9,3,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.5,-93.1164970068047
1956-1957,1956-12-26,VVV-Venlo,SC Enschede,0,1,away_win,-1,1020.2621480189454,1077.2252259290797,10.6,14.4,-1,4,0,0,0,0,0,0,0,0,0.0,0.5,0.6666666666666666,-56.9630779101343
1956-1957,1956-12-30,Sparta Rotterdam,PSV,3,4,away_win,-1,988.4028037500752,989.669436963915,9.6,8.4,-2,2,0,0,0,0,0,0,0,0,0.0,0.2857142857142857,0.7142857142857143,-1.266633213839782
